Timestamp,CI,V_TRAIN (Km/h),NID_BG,M_MODE,DL Rxqual,UL Rxqual,D_LRBG,HO_state,CES,EStop
2025-10-01 16:46:33.216,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:33.216,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:33.236,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:33.545,009,,1370,,0.0,2.0,,0,0,0
2025-10-01 16:46:33.620,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:33.728,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:34.025,009,,1370,,0.0,2.0,,0,0,0
2025-10-01 16:46:34.496,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:34.505,009,,1370,,0.0,2.0,,0,0,0
2025-10-01 16:46:34.985,009,,1370,,1.0,1.0,,0,0,0
2025-10-01 16:46:35.156,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:35.156,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:35.465,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:35.904,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:35.945,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:36.308,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:36.425,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:36.905,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:37.385,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:37.568,009,,1370,,,,229.0,0,0,0
2025-10-01 16:46:37.568,009,290.0,1370,Full Supervision,,,637.0,0,0,0
2025-10-01 16:46:37.716,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:37.865,009,,1370,,1.0,0.0,,0,0,0
2025-10-01 16:46:37.972,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:38.336,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:38.345,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:38.825,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:38.848,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:38.868,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:39.305,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:39.636,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:39.636,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:39.785,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:40.265,009,,1370,,0.0,1.0,,0,0,0
2025-10-01 16:46:40.384,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:40.745,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:40.916,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:41.225,009,,1370,,3.0,1.0,,0,0,0
2025-10-01 16:46:41.705,009,,1370,,0.0,1.0,,0,0,0
2025-10-01 16:46:42.185,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:42.196,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:42.665,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:42.688,009,,1370,,,,637.0,0,0,0
2025-10-01 16:46:42.688,009,290.0,1370,Full Supervision,,,1046.0,0,0,0
2025-10-01 16:46:42.944,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:43.092,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:43.145,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:43.476,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:43.625,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:43.968,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:44.105,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:44.585,009,,1370,,0.0,0.0,,0,0,0
2025-10-01 16:46:44.628,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:44.628,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:45.065,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:45.376,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:45.545,009,,1370,,3.0,0.0,,0,0,0
2025-10-01 16:46:45.780,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:46.025,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:46.505,009,,1370,,2.0,0.0,,0,0,0
2025-10-01 16:46:46.985,009,,1370,,0.0,2.0,,0,0,0
2025-10-01 16:46:47.060,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:47.465,009,,1370,,0.0,2.0,,0,0,0
2025-10-01 16:46:47.808,009,,1370,,,,1046.0,0,0,0
2025-10-01 16:46:47.808,009,290.0,1370,Full Supervision,,,1455.0,0,0,0
2025-10-01 16:46:47.808,009,,1370,,,,1455.0,0,0,0
2025-10-01 16:46:47.945,009,,1370,,1.0,1.0,,0,0,0
2025-10-01 16:46:48.340,009,,1370,,,,1455.0,0,0,0
